,Unnamed: 0,AB,TI,year,SO,DT,PM,methods,MNCS,methods2
640,637,"With the causes of perinatal brain injuries still unclear and the probable role of hemodynamic instability in their etiology, bedside monitoring of neonatal cerebral hemodynamics with standard values as a function of age are needed. In this study, we combined quantitative frequency domain near infrared spectroscopy (FD-NIRS) measures of cerebral tissue oxygenation (StO(2)) and cerebral blood volume (CBV) with diffusion correlation spectroscopy (DCS) measures of a cerebral blood flow index (CBFix) to test the validity of the CBV-CBF relationship in premature neonates and to estimate cerebral metabolic rate of oxygen (rCMRO(2)) with or without the CBFix measurement. We measured 11 premature neonates (28-34 weeks gestational age) without known neurological issues, once a week from one to six weeks of age. In nine patients, cerebral blood velocities from the middle cerebral artery were collected by transcranial Doppler (TCD) and compared with DCS values. Results show a steady decrease in StO(2) during the first six weeks of life while CBV remains stable, and a steady increase in CBFix. rCMRO(2) estimated from FD-NIRS remains constant but shows wide interindividual variability. rCMRO(2) calculated from FD-NIRS and DCS combined increased by 40% during the first six weeks of life with reduced interindividual variability. TCD and DCS values are positively correlated. In conclusion, FD-NIRS combined with DCS offers a safe and quantitative bedside method to assess CBV, StO(2), CBF, and rCMRO(2) in the premature brain, facilitating individual follow-up and comparison among patients. A stable CBV-CBF relationship may not be valid for premature neonates. Hum Brain Mapp 31:341-352, 2010. (C) 2009 Wiley-Liss, Inc.","Noninvasive Optical Measures of CBV, StO(2), CBF Index, and rCMRO(2) in Human Premature Neonates' Brains in the First Six Weeks of Life",2010,HUMAN BRAIN MAPPING,Article,19650140,"['DTI', 'Spectroscopy']",2.4,Spectroscopy
641,638,"Changes in the default mode network (DMN) have been linked to multiple neurological disorders including schizophrenia. The anticorrelated relationship the DMN shares with task-related networks permits the quantification of this network both during task (task-induced deactivations: TID) and during periods of passive mental activity (extended rest). However, the effects of different methodologies (TID vs. extended rest) for quantifying the DMN in the same clinical population are currently not well understood. Moreover, several different analytic techniques, including independent component analyses (ICA) and seed-based correlation analyses, exist for examining functional connectivity during extended resting states. The current study compared both methodologies and analytic techniques in a group of patients with schizophrenia (SP) and matched healthy controls. Results indicated that TID analyses, ICA, and seed-based correlation all consistently identified the midline (anterior and posterior cingulate gyrus) and lateral parietal cortex as core regions of the DMN, as well as more variable involvement of temporal lobe structures. In addition, SP exhibited increased deactivation during task, as well as decreased functional connectivity with frontal regions and increased connectivity with posterior and subcortical areas during periods of extended rest. The increased posterior and reduced anterior connectivity may partially explain some of the cognitive dysfunction and clinical symptoms that are frequently associated with schizophrenia. Hum Brain Mapp 31:424-437, 2010. (C) 2009 Wiley-Liss, Inc.",Resting State and Task-induced Deactivation: A Methodological Comparison in Patients with Schizophrenia and Healthy Controls,2010,HUMAN BRAIN MAPPING,Article,19777578,['rsFMRI'],2.06,rsFMRI
642,639,"One hundred and fifty years of neurolinguistic research has identified the key structures in the human brain that support language. However, neither the classic neuropsychological approaches introduced by Broca (1861) and Wernicke (1874), nor modern neuroimaging employing PET and fMRI has been able to delineate the temporal flow of language processing in the human brain. We recorded the electrocorticogram (ECoG) from indwelling electrodes over left hemisphere language cortices during two common language tasks, verb generation and picture naming. We observed that the very high frequencies of the ECoG (high-gamma, 70-160 Hz) track language processing with spatial and temporal precision. Serial progression of activations is seen at a larger timescale, showing distinct stages of perception, semantic association/selection, and speech production. Within the areas supporting each of these larger processing stages, parallel (or ""incremental"") processing is observed. In addition to the traditional posterior vs. anterior localization for speech perception vs. production, we provide novel evidence for the role of premotor cortex in speech perception and of Wernicke's and surrounding cortex in speech production. The data are discussed with regards to current leading models of speech perception and production, and a ""dual ventral stream"" hybrid of leading speech perception models is given. (C) 2009 Elsevier Inc. All rights reserved.",Spatiotemporal imaging of cortical activation during verb generation and picture naming,2010,NEUROIMAGE,Article,20026224,"['ECoG', 'fMRI', 'PET']",2.11,ECoG
642,639,"One hundred and fifty years of neurolinguistic research has identified the key structures in the human brain that support language. However, neither the classic neuropsychological approaches introduced by Broca (1861) and Wernicke (1874), nor modern neuroimaging employing PET and fMRI has been able to delineate the temporal flow of language processing in the human brain. We recorded the electrocorticogram (ECoG) from indwelling electrodes over left hemisphere language cortices during two common language tasks, verb generation and picture naming. We observed that the very high frequencies of the ECoG (high-gamma, 70-160 Hz) track language processing with spatial and temporal precision. Serial progression of activations is seen at a larger timescale, showing distinct stages of perception, semantic association/selection, and speech production. Within the areas supporting each of these larger processing stages, parallel (or ""incremental"") processing is observed. In addition to the traditional posterior vs. anterior localization for speech perception vs. production, we provide novel evidence for the role of premotor cortex in speech perception and of Wernicke's and surrounding cortex in speech production. The data are discussed with regards to current leading models of speech perception and production, and a ""dual ventral stream"" hybrid of leading speech perception models is given. (C) 2009 Elsevier Inc. All rights reserved.",Spatiotemporal imaging of cortical activation during verb generation and picture naming,2010,NEUROIMAGE,Article,20026224,"['ECoG', 'fMRI', 'PET']",2.11,fMRI
642,639,"One hundred and fifty years of neurolinguistic research has identified the key structures in the human brain that support language. However, neither the classic neuropsychological approaches introduced by Broca (1861) and Wernicke (1874), nor modern neuroimaging employing PET and fMRI has been able to delineate the temporal flow of language processing in the human brain. We recorded the electrocorticogram (ECoG) from indwelling electrodes over left hemisphere language cortices during two common language tasks, verb generation and picture naming. We observed that the very high frequencies of the ECoG (high-gamma, 70-160 Hz) track language processing with spatial and temporal precision. Serial progression of activations is seen at a larger timescale, showing distinct stages of perception, semantic association/selection, and speech production. Within the areas supporting each of these larger processing stages, parallel (or ""incremental"") processing is observed. In addition to the traditional posterior vs. anterior localization for speech perception vs. production, we provide novel evidence for the role of premotor cortex in speech perception and of Wernicke's and surrounding cortex in speech production. The data are discussed with regards to current leading models of speech perception and production, and a ""dual ventral stream"" hybrid of leading speech perception models is given. (C) 2009 Elsevier Inc. All rights reserved.",Spatiotemporal imaging of cortical activation during verb generation and picture naming,2010,NEUROIMAGE,Article,20026224,"['ECoG', 'fMRI', 'PET']",2.11,PET
643,640,"Remission is the optimal outcome for major depressive disorder (MDD), but many patients do not improve appreciably despite treatment with medication. Treatment-resistant patients may experience deterioration in cognitive functions. Research has reported structural abnormalities in certain brain areas that may contribute to a poor clinical response. We hypothesize that there will be structural differences between patients able to achieve remission and those responding poorly to antidepressants. In the first voxel-based morphometric (VBM) study comparing remitting with non-remitting MDD, we investigated gray matter volume (GMV) differences between depressives to determine which structural abnormalities existed, and correlated these with diminished cognitive functioning. Of 44 adults with recurrent MDD, 19 had full remissions and 25 were non-remitters after a 6-week trial with antidepressant treatment. Remission was defined by 17-item Hamilton Depression Rating Scale scores of <= 7 for at least 2 weeks. VBM and neuropsychological studies were conducted on all patients and 25 healthy controls. The patients who remitted revealed milder visual attention deficits than did controls. This correlated with reduced GMV in the left postcentral gyrus (Brodmann area. or BA, 3) and the bilateral medial/superior frontal gyrus (BA 6). The non-remitting patients had reduced GMV in the left dorsolateral prefrontal cortex (DLPFC, BA 9), and impaired acoustic and visual attention associated with GMV differences in several cortical regions, thalamus and amygdala/parahippocampal gyrus. These findings indicated that patients whose MDD remitted were cognitively and morphologically different from non-remitters. Voxel-based structural deficits in the left DLPFC may characterize a subgroup of people with recurrent MDD who respond poorly to antidepressants. (C) 2009 Elsevier Inc. All rights reserved.",Structural and cognitive deficits in remitting and non-remitting recurrent depression: A voxel-based morphometric study,2010,NEUROIMAGE,Article,19931620,['MRI'],2.2,MRI
644,641,"Ten percent of humans lack specific binding of [C-11]PBR28 to 18 kDa translocator protein (TSPO), a biomarker for inflammation. ""Non-binders"" have not been reported using another TSPO radioligand, [C-11]-(R)-PK 11195, despite its use for more than two decades. This study asked two questions: (1) What is the cause of nonbinding to PBR28? and (2) Why has this phenomenon not been reported using [C-11]-(R)-PK 11195? Methods: Five binders and five non-binders received whole-body imaging with both [C-11]-(R)-PK 11195 and [C-11]PBR28. In vitro binding was performed using leukocyte membranes from binders and non-binders and the tritiated versions of the ligand. Rhesus monkeys were imaged with [C-11]-(R)-PK 11195 at baseline and after blockade of TSPOs. Results: Using [C-11]PBR28, uptake in all five organs with high densities of TSPO (lung, heart, brain, kidney, and spleen) was 50% to 75% lower in non-binders than in binders. In contrast, [C-11]-(R)-PK 11195 distinguished binders and non-binders in only heart and lung. For the in vitro assay, [H-3]PBR28 had more than 10-fold lower affinity to TSPO in non-binders than in binders. The in vivo specific binding of [C-11]-(R)-PK 11195 in monkey brain was similar to 80-fold lower than that reported for [C-11]PBR28. Conclusions: Based on binding of [H-3]PK 11195 to leukocyte membranes, both binders and non-binders express TSPO. Non-binding to PBR28 is caused by its low affinity for TSPO in non-binders. Non-binding may be differentially expressed in organs of the body. The relatively low in vivo specific binding of [C-11]-(R)-PK 11195 may have obscured its detection of nonbinding in peripheral organs. Published by Elsevier Inc.","Comparison of [C-11]-(R)-PK 11195 and [C-11]PBR28, two radioligands for translocator protein (18 kDa) in human and monkey: Implications for positron emission tomographic imaging of this inflammation biomarker",2010,NEUROIMAGE,Article,19948230,['nomethod'],1.88,nomethod
645,642,"The corpus callosum (CC) is the major conduit for information transfer between the cerebral hemispheres and plays an integral role in relaying sensory, motor and cognitive information between homologous cortical regions. The majority of fibers that make up the CC arise from large pyramidal neurons in layers III and V, which project contra-laterally. These neurons degenerate in Huntington's disease (HD) in a topographically and temporally selective way. Since any focus of cortical degeneration could be expected to secondarily deafferent homologous regions of cortex, we hypothesized that regionally selective cortical degeneration would be reflected in regionally selective degeneration of the CC. We used conventional T1-weighted, diffusion tensor imaging (DTI), and a modified corpus callosum segmentation scheme to examine the CC in healthy controls, huntingtin gene-carriers and symptomatic HID subjects. We measured mid-sagittal callosal cross-sectional thickness and several DTI parameters, including fractional anisotropy (FA), which reflects the degree of white matter organization, radial diffusivity, a suggested index of myelin integrity, and axial diffusivity, a suggested index of axonal damage of the CC. We found a topologically selective pattern of alterations in these measures in pre-manifest subjects that were more extensive in early symptomatic HD subjects and that correlated with performance on distinct cognitive measures, suggesting an important role for disrupted inter-hemispheric transfer in the clinical symptoms of HID. Our findings provide evidence for early degeneration of commissural pyramidal neurons in the neocortex, loss of cortico-cortical connectivity, and functional compromise of associative cortical processing. (C) 2009 Elsevier Inc. All rights reserved.","Altered white matter microstructure in the corpus callosum in Huntington's disease: Implications for cortical ""disconnection""",2010,NEUROIMAGE,Article,19850138,['DTI'],2.52,DTI
646,643,"Near infrared spectroscopy (NIRS) is a promising technology for functional brain imaging which measures hemodynamic signals from the cortex, similar to functional magnetic resonance imaging (fMRI), but does not require the participant to lie motionless in a confined space. NIRS can therefore be used for more naturalistic experiments, including face to face communication, or natural body movements, and is well suited for real-time applications that may require lengthy training. However, improving signal quality and reducing noise, especially noise induced by head motion, is challenging, particularly for real time applications. Here we study the properties of head motion induced noise, and find that motion noise causes the measured oxygenated and deoxygenated hemoglobin signals. which are typically strongly negatively correlated, to become more positively correlated. Next, we develop a method to reduce noise based on the principle that the concentration changes of oxygenated and deoxygenated hemoglobin should be negatively correlated. We show that despite its simplicity, this method is effective in reducing noise and improving signal quality, for both online and offline noise reduction. (C) 2009 Elsevier Inc. All rights reserved.",Functional near infrared spectroscopy (NIRS) signal improvement based on negative correlation between oxygenated and deoxygenated hemoglobin dynamics,2010,NEUROIMAGE,Article,19945536,"['fMRI', 'Spectroscopy']",2.14,fMRI
646,643,"Near infrared spectroscopy (NIRS) is a promising technology for functional brain imaging which measures hemodynamic signals from the cortex, similar to functional magnetic resonance imaging (fMRI), but does not require the participant to lie motionless in a confined space. NIRS can therefore be used for more naturalistic experiments, including face to face communication, or natural body movements, and is well suited for real-time applications that may require lengthy training. However, improving signal quality and reducing noise, especially noise induced by head motion, is challenging, particularly for real time applications. Here we study the properties of head motion induced noise, and find that motion noise causes the measured oxygenated and deoxygenated hemoglobin signals. which are typically strongly negatively correlated, to become more positively correlated. Next, we develop a method to reduce noise based on the principle that the concentration changes of oxygenated and deoxygenated hemoglobin should be negatively correlated. We show that despite its simplicity, this method is effective in reducing noise and improving signal quality, for both online and offline noise reduction. (C) 2009 Elsevier Inc. All rights reserved.",Functional near infrared spectroscopy (NIRS) signal improvement based on negative correlation between oxygenated and deoxygenated hemoglobin dynamics,2010,NEUROIMAGE,Article,19945536,"['fMRI', 'Spectroscopy']",2.14,Spectroscopy
647,644,"In this technical note, we describe and validate a topological false discovery rate (FDR) procedure for statistical parametric mapping. This procedure is designed to deal with signal that is continuous and has, in principle, unbounded spatial support. We therefore infer on topological features of the signal, such as the existence of local maxima or peaks above some threshold. Using results from random field theory, we assign a p-value to each maximum in an SPM and identify an adaptive threshold that controls false discovery rate, using the Benjamini and Hochberg (BH) procedure (1995). This provides a natural complement to conventional family wise error (FWE) control on local maxima. We use simulations to contrast these procedures; both in terms of their relative number of discoveries and their spatial accuracy (via the distribution of the Euclidian distance between true and discovered activations). We also assessed two other procedures: cluster-wise and voxel-wise FOR procedures. Our results suggest that (a) FDR control of maxima or peaks is more sensitive than FWE control of peaks with minimal cost in terms of false-positives, (b) voxel-wise FDR is substantially less accurate than topological FWE or FDR control. Finally, we present an illustrative application using an fMRI study of visual attention. (C) 2009 Elsevier Inc. All rights reserved.",Topological FDR for neuroimaging,2010,NEUROIMAGE,Article,19944173,['fMRI'],2.14,fMRI
648,645,"Cognitive functions are organized in distributed, overlapping, and interacting brain networks. Investigation of those large-scale brain networks is a major task in neuroimaging research. Here, we introduce a novel combination of functional and anatomical connectivity to study the network topology subserving a cognitive function of interest. (i) In a given network, direct interactions between network nodes are identified by analyzing functional MRI time series with the multivariate method of directed partial correlation (dPC). This method provides important improvements over shortcomings that are typical for ordinary (partial) correlation techniques. (ii) For directly interacting pairs of nodes, a region-to-region probabilistic fiber tracking on diffusion tensor imaging data is performed to identify the most probable anatomical white matter fiber tracts mediating the functional interactions. This combined approach is applied to the language domain to investigate the network topology of two levels of auditory comprehension: lower-level speech perception (i.e., phonological processing) and higher-level speech recognition (i.e., semantic processing). For both processing levels, dPC analyses revealed the functional network topology and identified central network nodes by the number of direct interactions with other nodes. Tractography showed that these interactions are mediated by distinct ventral (via the extreme capsule) and dorsal (via the arcuate/superior longitudinal fascicle fiber system) long- and short-distance association tracts as well as commissural fibers. Our findings demonstrate how both processing routines are segregated in the brain on a large-scale network level. Combining dPC with probabilistic tractography is a promising approach to unveil how cognitive functions emerge through interaction of functionally interacting and anatomically interconnected brain regions. (C) 2009 Elsevier Inc. All rights reserved.",Combining functional and anatomical connectivity reveals brain networks for auditory language comprehension,2010,NEUROIMAGE,Article,19913624,"['DTI', 'MRI']",1.88,DTI
648,645,"Cognitive functions are organized in distributed, overlapping, and interacting brain networks. Investigation of those large-scale brain networks is a major task in neuroimaging research. Here, we introduce a novel combination of functional and anatomical connectivity to study the network topology subserving a cognitive function of interest. (i) In a given network, direct interactions between network nodes are identified by analyzing functional MRI time series with the multivariate method of directed partial correlation (dPC). This method provides important improvements over shortcomings that are typical for ordinary (partial) correlation techniques. (ii) For directly interacting pairs of nodes, a region-to-region probabilistic fiber tracking on diffusion tensor imaging data is performed to identify the most probable anatomical white matter fiber tracts mediating the functional interactions. This combined approach is applied to the language domain to investigate the network topology of two levels of auditory comprehension: lower-level speech perception (i.e., phonological processing) and higher-level speech recognition (i.e., semantic processing). For both processing levels, dPC analyses revealed the functional network topology and identified central network nodes by the number of direct interactions with other nodes. Tractography showed that these interactions are mediated by distinct ventral (via the extreme capsule) and dorsal (via the arcuate/superior longitudinal fascicle fiber system) long- and short-distance association tracts as well as commissural fibers. Our findings demonstrate how both processing routines are segregated in the brain on a large-scale network level. Combining dPC with probabilistic tractography is a promising approach to unveil how cognitive functions emerge through interaction of functionally interacting and anatomically interconnected brain regions. (C) 2009 Elsevier Inc. All rights reserved.",Combining functional and anatomical connectivity reveals brain networks for auditory language comprehension,2010,NEUROIMAGE,Article,19913624,"['DTI', 'MRI']",1.88,MRI
649,646,"Oscillatory synchronization facilitates communication in neuronal networks and is intimately associated with human cognition. Neuronal activity in the human brain can be non-invasively imaged with magneto(MEG) and electroencephalography (EEG), but the large-scale structure of synchronized cortical networks supporting cognitive processing has remained uncharacterized. We combined simultaneous MEG and EEG (MEEG) recordings with minimum-norm-estimate-based inverse modeling to investigate the structure of oscillatory phase synchronized networks that were active during visual working memory (VWM) maintenance. Inter-areal phase-synchrony was quantified as a function of time and frequency by single-trial phase-difference estimates of cortical patches covering the entire cortical surfaces. The resulting networks were characterized with a number of network metrics that were then compared between delta/theta- (3-6 Hz), alpha- (7-13 Hz), beta- (16-25 Hz), and gamma- (30-80 Hz) frequency bands. We found several salient differences between frequency bands. Alpha- and beta-band networks were more clustered and small-world like but had smaller global efficiency than the networks in the delta/theta and gamma bands. Alpha- and beta-band networks also had truncated-power-law degree distributions and high k-core numbers. The data converge on showing that during the VWM-retention period, human cortical alpha- and beta-band networks have a memory-load dependent, scale-free small-world structure with densely connected core-like structures. These data further show that synchronized dynamic networks underlying a specific cognitive state can exhibit distinct frequency-dependent network structures that could support distinct functional roles. (C) 2009 Elsevier Inc. All rights reserved.",Graph properties of synchronized cortical networks during visual working memory maintenance,2010,NEUROIMAGE,Article,19932756,"['EEG', 'MEG']",1.92,EEG
649,646,"Oscillatory synchronization facilitates communication in neuronal networks and is intimately associated with human cognition. Neuronal activity in the human brain can be non-invasively imaged with magneto(MEG) and electroencephalography (EEG), but the large-scale structure of synchronized cortical networks supporting cognitive processing has remained uncharacterized. We combined simultaneous MEG and EEG (MEEG) recordings with minimum-norm-estimate-based inverse modeling to investigate the structure of oscillatory phase synchronized networks that were active during visual working memory (VWM) maintenance. Inter-areal phase-synchrony was quantified as a function of time and frequency by single-trial phase-difference estimates of cortical patches covering the entire cortical surfaces. The resulting networks were characterized with a number of network metrics that were then compared between delta/theta- (3-6 Hz), alpha- (7-13 Hz), beta- (16-25 Hz), and gamma- (30-80 Hz) frequency bands. We found several salient differences between frequency bands. Alpha- and beta-band networks were more clustered and small-world like but had smaller global efficiency than the networks in the delta/theta and gamma bands. Alpha- and beta-band networks also had truncated-power-law degree distributions and high k-core numbers. The data converge on showing that during the VWM-retention period, human cortical alpha- and beta-band networks have a memory-load dependent, scale-free small-world structure with densely connected core-like structures. These data further show that synchronized dynamic networks underlying a specific cognitive state can exhibit distinct frequency-dependent network structures that could support distinct functional roles. (C) 2009 Elsevier Inc. All rights reserved.",Graph properties of synchronized cortical networks during visual working memory maintenance,2010,NEUROIMAGE,Article,19932756,"['EEG', 'MEG']",1.92,MEG
650,647,"During sustained periods of a taxing cognitive workload, humans typically display time-on-task (TOT) effects, in which performance gets steadily worse over the period of task engagement. Arterial spin labeling (ASL) perfusion functional magnetic resonance imaging (fMRI) was used in this study to investigate the neural correlates of TOT effects in a group of 15 subjects as they performed a 20-min continuous psychomotor vigilance test (PVT). Subjects displayed significant TOT effects, as seen in progressively slower reaction times and significantly increased mental fatigue ratings after the task. Perfusion data showed that the PVT activates a right latelalized fronto-parietal attentional network in addition to the basal ganglia and sensorimotor cortices. The fronto-parietal network was less active during post-task rest compared to pre-task rest, and regional CBF decrease in this network correlated with performance decline. These results demonstrate the persistent effects of cognitive fatigue in the fronto-parietal network after a period of heavy mental work and indicate the critical role of this attentional network in mediating TOT effects. Furthermore, resting regional CBF in the thalamus and right middle frontal gyrus prior to task onset was predictive of subjects' subsequent performance decline, suggesting that resting CBF quantified by ASL perfusion fMRI may be a useful indicator of performance potential and a marker of the level of fatigue in the neural attentional system. (C) 2009 Elsevier Inc. All rights reserved.",Imaging brain fatigue from sustained mental workload: An ASL perfusion study of the time-on-task effect,2010,NEUROIMAGE,Article,19925871,"['ASL', 'fMRI', 'MRP', 'rsFMRI']",2.33,ASL
650,647,"During sustained periods of a taxing cognitive workload, humans typically display time-on-task (TOT) effects, in which performance gets steadily worse over the period of task engagement. Arterial spin labeling (ASL) perfusion functional magnetic resonance imaging (fMRI) was used in this study to investigate the neural correlates of TOT effects in a group of 15 subjects as they performed a 20-min continuous psychomotor vigilance test (PVT). Subjects displayed significant TOT effects, as seen in progressively slower reaction times and significantly increased mental fatigue ratings after the task. Perfusion data showed that the PVT activates a right latelalized fronto-parietal attentional network in addition to the basal ganglia and sensorimotor cortices. The fronto-parietal network was less active during post-task rest compared to pre-task rest, and regional CBF decrease in this network correlated with performance decline. These results demonstrate the persistent effects of cognitive fatigue in the fronto-parietal network after a period of heavy mental work and indicate the critical role of this attentional network in mediating TOT effects. Furthermore, resting regional CBF in the thalamus and right middle frontal gyrus prior to task onset was predictive of subjects' subsequent performance decline, suggesting that resting CBF quantified by ASL perfusion fMRI may be a useful indicator of performance potential and a marker of the level of fatigue in the neural attentional system. (C) 2009 Elsevier Inc. All rights reserved.",Imaging brain fatigue from sustained mental workload: An ASL perfusion study of the time-on-task effect,2010,NEUROIMAGE,Article,19925871,"['ASL', 'fMRI', 'MRP', 'rsFMRI']",2.33,fMRI
650,647,"During sustained periods of a taxing cognitive workload, humans typically display time-on-task (TOT) effects, in which performance gets steadily worse over the period of task engagement. Arterial spin labeling (ASL) perfusion functional magnetic resonance imaging (fMRI) was used in this study to investigate the neural correlates of TOT effects in a group of 15 subjects as they performed a 20-min continuous psychomotor vigilance test (PVT). Subjects displayed significant TOT effects, as seen in progressively slower reaction times and significantly increased mental fatigue ratings after the task. Perfusion data showed that the PVT activates a right latelalized fronto-parietal attentional network in addition to the basal ganglia and sensorimotor cortices. The fronto-parietal network was less active during post-task rest compared to pre-task rest, and regional CBF decrease in this network correlated with performance decline. These results demonstrate the persistent effects of cognitive fatigue in the fronto-parietal network after a period of heavy mental work and indicate the critical role of this attentional network in mediating TOT effects. Furthermore, resting regional CBF in the thalamus and right middle frontal gyrus prior to task onset was predictive of subjects' subsequent performance decline, suggesting that resting CBF quantified by ASL perfusion fMRI may be a useful indicator of performance potential and a marker of the level of fatigue in the neural attentional system. (C) 2009 Elsevier Inc. All rights reserved.",Imaging brain fatigue from sustained mental workload: An ASL perfusion study of the time-on-task effect,2010,NEUROIMAGE,Article,19925871,"['ASL', 'fMRI', 'MRP', 'rsFMRI']",2.33,MRP
650,647,"During sustained periods of a taxing cognitive workload, humans typically display time-on-task (TOT) effects, in which performance gets steadily worse over the period of task engagement. Arterial spin labeling (ASL) perfusion functional magnetic resonance imaging (fMRI) was used in this study to investigate the neural correlates of TOT effects in a group of 15 subjects as they performed a 20-min continuous psychomotor vigilance test (PVT). Subjects displayed significant TOT effects, as seen in progressively slower reaction times and significantly increased mental fatigue ratings after the task. Perfusion data showed that the PVT activates a right latelalized fronto-parietal attentional network in addition to the basal ganglia and sensorimotor cortices. The fronto-parietal network was less active during post-task rest compared to pre-task rest, and regional CBF decrease in this network correlated with performance decline. These results demonstrate the persistent effects of cognitive fatigue in the fronto-parietal network after a period of heavy mental work and indicate the critical role of this attentional network in mediating TOT effects. Furthermore, resting regional CBF in the thalamus and right middle frontal gyrus prior to task onset was predictive of subjects' subsequent performance decline, suggesting that resting CBF quantified by ASL perfusion fMRI may be a useful indicator of performance potential and a marker of the level of fatigue in the neural attentional system. (C) 2009 Elsevier Inc. All rights reserved.",Imaging brain fatigue from sustained mental workload: An ASL perfusion study of the time-on-task effect,2010,NEUROIMAGE,Article,19925871,"['ASL', 'fMRI', 'MRP', 'rsFMRI']",2.33,rsFMRI
651,648,"Two distinct literatures have emerged on the functionality of the anterior temporal lobes (ATL): in one field, the ATLs are conceived of as a repository for semantic or conceptual knowledge. In another field, the ATLs are thought to play some undetermined role in social-emotional functions such as Theory of Mind. Here we attempted to reconcile these distinct functions by assessing whether social semantic processing can explain ATL activation in other social cognitive tasks. Social semantic functions refer to knowledge about social concepts and rules. In a first experiment we tested the idea that social semantic representations can account for activations in the ATL to social attribution stimuli such as Heider and Simmel animations. Left ATL activations to Heider and Simmel stimuli overlapped with activations to social words. In a second experiment we assessed the putative roles of the ATLs in the processing of narratives and theory of mind content and found evidence for a role of the ATLs in the processing of theory of mind but not narrative per se. These findings indicate that the ATLs are part of a neuronal network supporting social cognition and that they are engaged when tasks demand access to social conceptual knowledge. (C) 2009 Elsevier Inc. All rights reserved.",Social cognition and the anterior temporal lobes,2010,NEUROIMAGE,Article,19931397,['nomethod'],2.2,nomethod
652,649,"Background: Inhibitory dysfunction is a key behavioral and cognitive phenotype of attention-deficit hyperactivity disorder (ADHD) and obsessive-compulsive disorder (OCD). Both disorders show neuropsychological deficits and fronto-striatal dysfunction during tasks of motor response inhibition and cognitive flexibility. This study investigates differences and commonalities in functional neural networks mediating inhibitory control between adolescents with ADHD and those with OCD to identify disorder-specific neurofunctional markers that distinguish these two inhibitory disorders. Methods: Event-related fMRI was used to compare brain activation between 20 healthy boys, IS (Stop task) or 12 boys (Switch task) with ADHD, and 10 boys with OCD during a tracking Stop task that measures inhibition and stopping failure and during a visual-spatial switching task measuring cognitive flexibility. Results: Both patient groups shared brain dysfunction compared to healthy controls in right orbitofrontal (successful inhibition) and left dorsolateral prefrontal cortices (failed inhibition). Right inferior prefrontal dysfunction, however, was disorder-specific to ADHD during both tasks. Left inferior prefrontal dysfunction during the Switch task was significant in children with ADHD relative to controls, but only reached a trend in patients with OCD. Patients with ADHD furthermore showed disorder-specific dysfunction in left basal ganglia and cingulate gyrus during the Switch task. Conclusions: Patients with ADHD compared to those with OCD have both common and distinct dysfunctions during inhibitory control. The most consistently reported functional abnormality in children with ADHD in right inferior prefrontal cortex during inhibitory control appears to be disorder-specific when compared to patients with OCD and may be a specific neurofunctional biomarker of ADHD. Hum Brain Mapp 31:287-299, 2010. (C) 2009 Wiley-Liss, Inc.",Disorder-Specific Dysfunction in Right Inferior Prefrontal Cortex During Two Inhibition Tasks in Boys with Attention-Deficit Hyperactivity Disorder Compared to Boys with Obsessive-Compulsive Disorder,2010,HUMAN BRAIN MAPPING,Article,19777552,['fMRI'],2.3,fMRI
653,650,"Resting state functional magnetic resonance imaging (fMRI) reveals a distinct network of correlated brain function representing a default mode state of the human brain The underlying structural basis of this functional connectivity pattern is still widely unexplored We combined fractional anisotropy measures of fiber tract integrity derived from diffusion tensor imaging (DTI) and resting state fMRI data obtained at 3 Tesla from 20 healthy elderly subjects (56 to 83 years of age) to determine white matter microstructure e 7 underlying default mode connectivity We hypothesized that the functional connectivity between the posterior cingulate and hippocampus from resting state fMRI data Would be associated with the white matter microstructure in the cingulate bundle and fiber tracts connecting posterior cingulate gyrus With lateral temporal lobes, medial temporal lobes, and precuneus This was demonstrated at the p<0001 level using a voxel-based multivariate analysis of covariance (MANCOVA) approach In addition, we used a data-driven technique of joint independent component analysis (ICA) that uncovers spatial pattern that are linked across modalities. It revealed a pattern of white matter tracts including cingulate bundle and associated fiber tracts resembling the findings from the hypothesis-driven analysis and was linked to the pattern of default mode network (DMN) connectivity in the resting state fMRI data Out findings support the notion that the functional connectivity between the posterior cingulate and hippocampus and the functional connectivity across the entire DMN is based oil distinct pattern of anatomical connectivity within the cerebral white matter (C) 2009 Elsevier Inc All rights reserved",White matter microstructure underlying default mode network connectivity in the human brain,2010,NEUROIMAGE,Article,19878723,"['DTI', 'fMRI', 'rsFMRI']",2.36,DTI
